No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
1202,wayaapamimaawaten,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must be seeing them(sing.)
1203,wayaapamimaawaten,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Conjunct Dubitative,you must be seeing them(plur.)
1204,waapamimaawatipanen,"you (sg.) must have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must have seen them(sing.)
1205,waapamimaawatipanen,"you (sg.) must have seen him/her, them (obv.)",2s→3' TA Conjunct Dubitative Preterit,you must have seen them(plur.)
1206,waapamimaawekipanen,"you (pl.) must have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must have seen them(sing.)
1207,waapamimaawekipanen,"you (pl.) must have seen him/her, them (obv.)",2p→3' TA Conjunct Dubitative Preterit,you must have seen them(plur.)
1208,wayaapamimaawekwen,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must be seeing them(sing.)
1209,wayaapamimaawekwen,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Conjunct Dubitative,you must be seeing them(plur.)
1210,wayaapamimaawinten,"people must be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must be seeing them(sing.)
1211,wayaapamimaawinten,"people must be seeing him/her, them (obv.)",X→3' TA Conjunct Dubitative,people must be seeing them(plur.)
1212,waapamimaawintipanen,"people must have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must have seen them(sing.)
1213,waapamimaawintipanen,"people must have seen him/her, them (obv.)",X→3' TA Conjunct Dubitative Preterit,people must have seen them(plur.)
1214,waapamimak,"I see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I see them(sing.)
1215,waapamimak,"I see him/her, them (obv.)",1s→3' TA Conjunct Indicative,I see them(plur.)
1216,waapamimakipan,"I saw him/her, them (obv.)",1s→3' TA Conjunct Preterit,I saw them(sing.)
1217,waapamimakipan,"I saw him/her, them (obv.)",1s→3' TA Conjunct Preterit,I saw them(plur.)
1218,waapamimaniktipan,"we (excl.) saw him/her, them (obv.)",1p→3' TA Conjunct Preterit,we saw them(sing.)
1219,waapamimaniktipan,"we (excl.) saw him/her, them (obv.)",1p→3' TA Conjunct Preterit,we saw them(plur.)
1220,waapamimank,"we (incl.) see him/her, them (obv.)",21→3' TA Conjunct Indicative,we see them(sing.)
1221,waapamimank,"we (incl.) see him/her, them (obv.)",21→3' TA Conjunct Indicative,we see them(plur.)
1222,waapamimankipan,"we (incl.) saw him/her, them (obv.)",21→3' TA Conjunct Preterit,we saw them(sing.)
1223,waapamimankipan,"we (incl.) saw him/her, them (obv.)",21→3' TA Conjunct Preterit,we saw them(plur.)
1224,waapamimankit,"we (excl.) see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we see them(sing.)
1225,waapamimankit,"we (excl.) see him/her, them (obv.)",1p→3' TA Conjunct Indicative,we see them(plur.)
1226,waapamimat,"you (sg.) see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you see them(sing.)
1227,waapamimat,"you (sg.) see him/her, them (obv.)",2s→3' TA Conjunct Indicative,you see them(plur.)
1228,waapamimatipan,"you (sg.) saw him/her, them (obv.)",2s→3' TA Conjunct Preterit,you saw them(sing.)
1229,waapamimatipan,"you (sg.) saw him/her, them (obv.)",2s→3' TA Conjunct Preterit,you saw them(plur.)
1230,waapamimek,"you (pl.) see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you see them(sing.)
1231,waapamimek,"you (pl.) see him/her, them (obv.)",2p→3' TA Conjunct Indicative,you see them(plur.)
1232,waapamimekipan,"you (pl.) saw him/her, them (obv.)",2p→3' TA Conjunct Preterit,you saw them(sing.)
1233,waapamimekipan,"you (pl.) saw him/her, them (obv.)",2p→3' TA Conjunct Preterit,you saw them(plur.)
1234,waapamimint,"people see him/her, them (obv.)",X→3' TA Conjunct Indicative,people see them(sing.)
1235,waapamimint,"people see him/her, them (obv.)",X→3' TA Conjunct Indicative,people see them(plur.)
1236,waapamimintipan,"people saw him/her, them (obv.)",X→3' TA Conjunct Preterit,people saw them(sing.)
1237,waapamimintipan,"people saw him/her, them (obv.)",X→3' TA Conjunct Preterit,people saw them(plur.)
1238,waapaminaampaan,I saw you (sg.),1s→2s TA Conjunct Preterit,I saw you
1239,noontoonaampaan,I heard you (sg.),1s→2s TA Conjunct Preterit,I heard you
1240,pakkitte'onaampaan,I hit you (sg.),1s→2s TA Conjunct Preterit,I hit you
1241,waapaminaan,I see you (sg.),1s→2s TA Conjunct Indicative,I see you
1242,noontoonaan,I hear you (sg.),1s→2s TA Conjunct Indicative,I hear you
1243,pakkitte'onaan,I hit you (sg.),1s→2s TA Conjunct Indicative,I hit you
1244,waapaminakok,I see you (pl.),1s→2p TA Conjunct Indicative,I see you
1245,noontoonakok,I hear you (pl.),1s→2p TA Conjunct Indicative,I hear you
1246,pakkitte'onakok,I hit you (pl.),1s→2p TA Conjunct Indicative,I hit you
1247,waapaminakookopan,I saw you (pl.),1s→2p TA Conjunct Preterit,I saw you
1248,noontoonakookopan,I heard you (pl.),1s→2p TA Conjunct Preterit,I heard you
1249,pakkitte'onakookopan,I hit you (pl.),1s→2p TA Conjunct Preterit,I hit you
1250,waapaminank,s/he sees us (incl.),3s→21 TA Conjunct Indicative,they(sing.) see us
1251,noontooninank,s/he hears us (incl.),3s→21 TA Conjunct Indicative,they(sing.) hear us
1252,pakkitte'onank,s/he hits us (incl.),3s→21 TA Conjunct Indicative,they(sing.) hit us
1253,waapaminankipan,s/he saw us (incl.),3s→21 TA Conjunct Preterit,they(sing.) saw us
1254,noontoonankipan,s/he heard us (incl.),3s→21 TA Conjunct Preterit,they(sing.) heard us
1255,pakkitte'onankipan,s/he hit us (incl.),3s→21 TA Conjunct Preterit,they(sing.) hit us
1256,waapaminankwaa,they (anim.) see us (incl.),3p→21 TA Conjunct Indicative,they(plur.) see us
1257,noontooninankwaa,they (anim.) hear us (incl.),3p→21 TA Conjunct Indicative,they(plur.) hear us
1258,pakkitte'onankwaa,they (anim.) hit us (incl.),3p→21 TA Conjunct Indicative,they(plur.) hit us
1259,waapaminankwaapan,they (anim.) saw us (incl.),3p→21 TA Conjunct Preterit,they(plur.) saw us
1260,noontoonankwaapan,they (anim.) heard us (incl.),3p→21 TA Conjunct Preterit,they(plur.) heard us
1261,pakkitte'onankwaapan,they (anim.) hit us (incl.),3p→21 TA Conjunct Preterit,they(plur.) hit us
1262,waapaminek,s/he sees you (pl.),3s→2p TA Conjunct Indicative,they(sing.) see you
1263,noontooninek,s/he hears you (pl.),3s→2p TA Conjunct Indicative,they(sing.) hear you
1264,pakkitte'onek,s/he hits you (pl.),3s→2p TA Conjunct Indicative,they(sing.) hit you
1265,waapaminekipan,s/he saw you (pl.),3s→2p TA Conjunct Preterit,they(sing.) saw you
1266,noontoonekipan,s/he heard you (pl.),3s→2p TA Conjunct Preterit,they(sing.) heard you
1267,pakkitte'onekipan,s/he hit you (pl.),3s→2p TA Conjunct Preterit,they(sing.) hit you
1268,waapaminekwaa,they (anim.) see you (pl.),3p→2p TA Conjunct Indicative,they(plur.) see you
1269,noontooninekwaa,they (anim.) hear you (pl.),3p→2p TA Conjunct Indicative,they(plur.) hear you
1270,pakkitte'onekwaa,they (anim.) hit you (pl.),3p→2p TA Conjunct Indicative,they(plur.) hit you
1271,waapaminekwaapan,they (anim.) saw you (pl.),3p→2p TA Conjunct Preterit,they(plur.) saw you
1272,noontoonekwaapan,they (anim.) heard you (pl.),3p→2p TA Conjunct Preterit,they(plur.) heard you
1273,pakkitte'onekwaapan,they (anim.) hit you (pl.),3p→2p TA Conjunct Preterit,they(plur.) hit you
1274,wayaapaminokwaawen,they (anim.) must be seeing you (sg.),3p→2s TA Conjunct Dubitative,they(plur.) must be seeing you
1275,nwaantoonokwaawen,they (anim.) must be hearing you (sg.),3p→2s TA Conjunct Dubitative,they(plur.) must be hearing you
1276,pekkitte'onokwaawen,they (anim.) must be hitting you (sg.),3p→2s TA Conjunct Dubitative,they(plur.) must be hitting you
1277,wayaapaminokwen,s/he must be seeing you (sg.),3s→2s TA Conjunct Dubitative,they(sing.) must be seeing you
1278,nwaantoonokwen,s/he must be hearing you (sg.),3s→2s TA Conjunct Dubitative,they(sing.) must be hearing you
1279,pekkitte'onokwen,s/he must be hitting you (sg.),3s→2s TA Conjunct Dubitative,they(sing.) must be hitting you
1280,wayaapaminowaanen,I must be seeing you (sg.),1s→2s TA Conjunct Dubitative,I must be seeing you
1281,nwaantoonowaanen,I must be hearing you (sg.),1s→2s TA Conjunct Dubitative,I must be hearing you
1282,pekkitte'onowaanen,I must be hitting you (sg.),1s→2s TA Conjunct Dubitative,I must be hitting you
1283,wayaapaminowanken,s/he must be seeing us (incl.),3s→21 TA Conjunct Dubitative,they(sing.) must be seeing us
1284,nwaantoonowanken,s/he must be hearing us (incl.),3s→21 TA Conjunct Dubitative,they(sing.) must be hearing us
1285,pekkitte'onowanken,s/he must be hitting us (incl.),3s→21 TA Conjunct Dubitative,they(sing.) must be hitting us
1286,wayaapaminowankwaawen,they (anim.) must be seeing us (incl.),3p→21 TA Conjunct Dubitative,they(plur.) must be seeing us
1287,nwaantoonowankwaawen,they (anim.) must be hearing us (incl.),3p→21 TA Conjunct Dubitative,they(plur.) must be hearing us
1288,pekkitte'onowankwaawen,they (anim.) must be hitting us (incl.),3p→21 TA Conjunct Dubitative,they(plur.) must be hitting us
1289,wayaapaminowekwaawen,they (anim.) must be seeing you (pl.),3p→2p TA Conjunct Dubitative,they(plur.) must be seeing you
1290,nwaantoonowekwaawen,they (anim.) must be hearing you (pl.),3p→2p TA Conjunct Dubitative,they(plur.) must be hearing you
1291,pekkitte'onowekwaawen,they (anim.) must be hitting you (pl.),3p→2p TA Conjunct Dubitative,they(plur.) must be hitting you
1292,wayaapaminowekwen,s/he must be seeing you (pl.),3s→2p TA Conjunct Dubitative,they(sing.) must be seeing you
1293,nwaantoonowekwen,s/he must be hearing you (pl.),3s→2p TA Conjunct Dubitative,they(sing.) must be hearing you
1294,pekkitte'onowekwen,s/he must be hitting you (pl.),3s→2p TA Conjunct Dubitative,they(sing.) must be hitting you
1295,waapamint,people see him/her,X→3s TA Conjunct Indicative,people see them(sing.)
1296,waapamintipan,people saw him/her,X→3s TA Conjunct Preterit,people saw them(sing.)
1297,waapamintwaa,people see them (anim.),X→3p TA Conjunct Indicative,people see them(plur.)
1298,waapamintwaapan,people saw them (anim.),X→3p TA Conjunct Preterit,people saw them(plur.)
1299,waapamippan,s/he saw me,3s→1s TA Conjunct Preterit,they(sing.) saw me
1300,pakkitte'ippan,s/he hit me,3s→1s TA Conjunct Preterit,they(sing.) hit me
1301,miišippan,s/he gave it to me,3s→1s TA Conjunct Preterit,they(sing.) gave it to me
1302,mawatiššippan,s/he visited me,3s→1s TA Conjunct Preterit,they(sing.) visited me
1303,konšippan,s/he swallowed me,3s→1s TA Conjunct Preterit,they(sing.) swallowed me
1304,waapamissiikopanen,s/he must not have seen me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must not have seen me
1305,pakkitte'ossiikopanen,s/he must not have hit me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must not have hit me
1306,miišissiikopanen,s/he must not have given it to me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must not have given it to me
1307,mawatiššissiikopanen,s/he must not have visited me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must not have visited me
1308,konšissiikopanen,s/he must not have swallowed me,3s→1s TA Conjunct Dubitative Preterit,they(sing.) must not have swallowed me
1309,wayaapamissiikwen,s/he must not be seeing me,3s→1s TA Conjunct Dubitative,they(sing.) must not be seeing me
1310,pekkitte'ossiikwen,s/he must not be hitting me,3s→1s TA Conjunct Dubitative,they(sing.) must not be hitting me
1311,maašissiikwen,s/he must not be giving it to me,3s→1s TA Conjunct Dubitative,they(sing.) must not be giving it to me
1312,mewatiššissiikwen,s/he must not be visiting me,3s→1s TA Conjunct Dubitative,they(sing.) must not be visiting me
1313,kwenšissiikwen,s/he must not be swallowing me,3s→1s TA Conjunct Dubitative,they(sing.) must not be swallowing me
1314,wayaapamissiinowaanen,I must not be seeing you (sg.),1s→2s TA Conjunct Dubitative,I must not be seeing you
1315,nwaantoonissiinowaanen,I must not be hearing you (sg.),1s→2s TA Conjunct Dubitative,I must not be hearing you
1316,pekkitte'ossiinowaanen,I must not be hitting you (sg.),1s→2s TA Conjunct Dubitative,I must not be hitting you
1317,waapamissiiwaakopanen,they (anim.) must not have seen me,3p→1s TA Conjunct Dubitative Preterit,they(plur.) must not have seen me
1318,pakkitte'ossiiwaakopanen,they (anim.) must not have hit me,3p→1s TA Conjunct Dubitative Preterit,they(plur.) must not have hit me
1319,miišissiiwaakopanen,they (anim.) must not have given it to me,3p→1s TA Conjunct Dubitative Preterit,they(plur.) must not have given it to me
1320,mawatiššissiiwaakopanen,they (anim.) must not have visited me,3p→1s TA Conjunct Dubitative Preterit,they(plur.) must not have visited me
1321,konšissiiwaakopanen,they (anim.) must not have swallowed me,3p→1s TA Conjunct Dubitative Preterit,they(plur.) must not have swallowed me
1322,wayaapamissiiwaakwen,they (anim.) must not be seeing me,3p→1s TA Conjunct Dubitative,they(plur.) must not be seeing me
1323,pekkitte'ossiiwaakwen,they (anim.) must not be hitting me,3p→1s TA Conjunct Dubitative,they(plur.) must not be hitting me
1324,maašissiiwaakwen,they (anim.) must not be giving it to me,3p→1s TA Conjunct Dubitative,they(plur.) must not be giving it to me
1325,mewatiššissiiwaakwen,they (anim.) must not be visiting me,3p→1s TA Conjunct Dubitative,they(plur.) must not be visiting me
1326,kwenšissiiwaakwen,they (anim.) must not be swallowing me,3p→1s TA Conjunct Dubitative,they(plur.) must not be swallowing me
1327,wayaapamissiiwaanken,you (sg.) must not be seeing us (excl.),2s→1p TA Conjunct Dubitative,you must not be seeing us
1328,pekkitte'ossiiwaanken,you (sg.) must not be hitting us (excl.),2s→1p TA Conjunct Dubitative,you must not be hitting us
1329,maašissiiwaanken,you (sg.) must not be giving it to us (excl.),2s→1p TA Conjunct Dubitative,you must not be giving it to us
1330,mewatiššissiiwaanken,you (sg.) must not be visiting us (excl.),2s→1p TA Conjunct Dubitative,you must not be visiting us
1331,kwenšissiiwaanken,you (sg.) must not be swallowing us (excl.),2s→1p TA Conjunct Dubitative,you must not be swallowing us
1332,wayaapamissiiwaanken,you (pl.) must not be seeing us (excl.),2p→1p TA Conjunct Dubitative,you must not be seeing us
1333,pekkitte'ossiiwaanken,you (pl.) must not be hitting us (excl.),2p→1p TA Conjunct Dubitative,you must not be hitting us
1334,maašissiiwaanken,you (pl.) must not be giving it to us (excl.),2p→1p TA Conjunct Dubitative,you must not be giving it to us
1335,mewatiššissiiwaanken,you (pl.) must not be visiting us (excl.),2p→1p TA Conjunct Dubitative,you must not be visiting us
1336,kwenšissiiwaanken,you (pl.) must not be swallowing us (excl.),2p→1p TA Conjunct Dubitative,you must not be swallowing us
1337,waapamissiiwaankipanen,you (sg.) must not have seen us (excl.),2s→1p TA Conjunct Dubitative Preterit,you must not have seen us
1338,pakkitte'ossiiwaankipanen,you (sg.) must not have hit us (excl.),2s→1p TA Conjunct Dubitative Preterit,you must not have hit us
1339,miišissiiwaankipanen,you (sg.) must not have given it to us (excl.),2s→1p TA Conjunct Dubitative Preterit,you must not have given it to us
1340,mawatiššissiiwaankipanen,you (sg.) must not have visited us (excl.),2s→1p TA Conjunct Dubitative Preterit,you must not have visited us
1341,konšissiiwaankipanen,you (sg.) must not have swallowed us (excl.),2s→1p TA Conjunct Dubitative Preterit,you must not have swallowed us
1342,waapamissiiwaankipanen,you (pl.) must not have seen us (excl.),2p→1p TA Conjunct Dubitative Preterit,you must not have seen us
1343,pakkitte'ossiiwaankipanen,you (pl.) must not have hit us (excl.),2p→1p TA Conjunct Dubitative Preterit,you must not have hit us
1344,miišissiiwaankipanen,you (pl.) must not have given it to us (excl.),2p→1p TA Conjunct Dubitative Preterit,you must not have given it to us
1345,mawatiššissiiwaankipanen,you (pl.) must not have visited us (excl.),2p→1p TA Conjunct Dubitative Preterit,you must not have visited us
1346,konšissiiwaankipanen,you (pl.) must not have swallowed us (excl.),2p→1p TA Conjunct Dubitative Preterit,you must not have swallowed us
1347,waapamissiiwampanen,you (sg.) must not have seen me,2s→1s TA Conjunct Dubitative Preterit,you must not have seen me
1348,pakkitte'ossiiwampanen,you (sg.) must not have hit me,2s→1s TA Conjunct Dubitative Preterit,you must not have hit me
1349,miišissiiwampanen,you (sg.) must not have given it to me,2s→1s TA Conjunct Dubitative Preterit,you must not have given it to me
1350,mawatiššissiiwampanen,you (sg.) must not have visited me,2s→1s TA Conjunct Dubitative Preterit,you must not have visited me
1351,konšissiiwampanen,you (sg.) must not have swallowed me,2s→1s TA Conjunct Dubitative Preterit,you must not have swallowed me
1352,wayaapamissiiwanen,you (sg.) must not be seeing me,2s→1s TA Conjunct Dubitative,you must not be seeing me
1353,pekkitte'ossiiwanen,you (sg.) must not be hitting me,2s→1s TA Conjunct Dubitative,you must not be hitting me
