Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
pakkitte'okossikopan,"s/he, they (obv.) did not hit him/her",3'→3s TA Conjunct Preterit,they(plur.) did not hit him/her
pakkitte'okossikopan,"s/he, they (obv.) did not hit him/her",3'→3s TA Conjunct Preterit,they(sing.) did not hit him/her
waapamikossikopan,"it, they (inan.) did not see him/her",0→3s TA Conjunct Preterit,"it, they(plur.) did not see him/her"
waapamikossikopan,"it, they (inan.) did not see him/her",0→3s TA Conjunct Preterit,"it,  did not see him/her"
noontaakossikopan,"it, they (inan.) did not hear him/her",0→3s TA Conjunct Preterit,"it, they(plur.) did not hear him/her"
noontaakossikopan,"it, they (inan.) did not hear him/her",0→3s TA Conjunct Preterit,"it,  did not hear him/her"
pakkitte'okossikopan,"it, they (inan.) did not hit him/her",0→3s TA Conjunct Preterit,"it, they(plur.) did not hit him/her"
pakkitte'okossikopan,"it, they (inan.) did not hit him/her",0→3s TA Conjunct Preterit,"it,  did not hit him/her"
waapamikossikwaa,"s/he, they (obv.) do not see them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) do not see them (anim.)
waapamikossikwaa,"s/he, they (obv.) do not see them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) do not see them (anim.)
noontaakossikwaa,"s/he, they (obv.) do not hear them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) do not hear them (anim.)
noontaakossikwaa,"s/he, they (obv.) do not hear them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) do not hear them (anim.)
pakkitte'okossikwaa,"s/he, they (obv.) do not hit them (anim.)",3'→3p TA Conjunct Indicative,they(plur.) do not hit them (anim.)
pakkitte'okossikwaa,"s/he, they (obv.) do not hit them (anim.)",3'→3p TA Conjunct Indicative,they(sing.) do not hit them (anim.)
waapamikossikwaa,"it, they (inan.) do not see them (anim.)",0→3p TA Conjunct Indicative,"it, they(plur.) do not see them (anim.)"
waapamikossikwaa,"it, they (inan.) do not see them (anim.)",0→3p TA Conjunct Indicative,"it,  do not see them (anim.)"
noontaakossikwaa,"it, they (inan.) do not hear them (anim.)",0→3p TA Conjunct Indicative,"it, they(plur.) do not hear them (anim.)"
noontaakossikwaa,"it, they (inan.) do not hear them (anim.)",0→3p TA Conjunct Indicative,"it,  do not hear them (anim.)"
pakkitte'okossikwaa,"it, they (inan.) do not hit them (anim.)",0→3p TA Conjunct Indicative,"it, they(plur.) do not hit them (anim.)"
pakkitte'okossikwaa,"it, they (inan.) do not hit them (anim.)",0→3p TA Conjunct Indicative,"it,  do not hit them (anim.)"
waapamikossikwaapan,"s/he, they (obv.) did not see them (anim.)",3'→3p TA Conjunct Preterit,they(plur.) did not see them (anim.)
waapamikossikwaapan,"s/he, they (obv.) did not see them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) did not see them (anim.)
noontaakossikwaapan,"s/he, they (obv.) did not hear them (anim.)",3'→3p TA Conjunct Preterit,they(plur.) did not hear them (anim.)
noontaakossikwaapan,"s/he, they (obv.) did not hear them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) did not hear them (anim.)
pakkitte'okossikwaapan,"s/he, they (obv.) did not hit them (anim.)",3'→3p TA Conjunct Preterit,they(plur.) did not hit them (anim.)
pakkitte'okossikwaapan,"s/he, they (obv.) did not hit them (anim.)",3'→3p TA Conjunct Preterit,they(sing.) did not hit them (anim.)
waapamikossikwaapan,"it, they (inan.) did not see them (anim.)",0→3p TA Conjunct Preterit,"it, they(plur.) did not see them (anim.)"
waapamikossikwaapan,"it, they (inan.) did not see them (anim.)",0→3p TA Conjunct Preterit,"it,  did not see them (anim.)"
noontaakossikwaapan,"it, they (inan.) did not hear them (anim.)",0→3p TA Conjunct Preterit,"it, they(plur.) did not hear them (anim.)"
noontaakossikwaapan,"it, they (inan.) did not hear them (anim.)",0→3p TA Conjunct Preterit,"it,  did not hear them (anim.)"
pakkitte'okossikwaapan,"it, they (inan.) did not hit them (anim.)",0→3p TA Conjunct Preterit,"it, they(plur.) did not hit them (anim.)"
pakkitte'okossikwaapan,"it, they (inan.) did not hit them (anim.)",0→3p TA Conjunct Preterit,"it,  did not hit them (anim.)"
waapamikossinik,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Conjunct Indicative,"it, they(plur.) do not see him/her, them (obv.)"
waapamikossinik,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Conjunct Indicative,"it,  do not see him/her, them (obv.)"
noontaakossinik,"it, they (inan.) do not hear him/her, them (obv.)",0→3' TA Conjunct Indicative,"it, they(plur.) do not hear him/her, them (obv.)"
noontaakossinik,"it, they (inan.) do not hear him/her, them (obv.)",0→3' TA Conjunct Indicative,"it,  do not hear him/her, them (obv.)"
pakkitte'okossinik,"it, they (inan.) do not hit him/her, them (obv.)",0→3' TA Conjunct Indicative,"it, they(plur.) do not hit him/her, them (obv.)"
pakkitte'okossinik,"it, they (inan.) do not hit him/her, them (obv.)",0→3' TA Conjunct Indicative,"it,  do not hit him/her, them (obv.)"
waapamikossinikopan,"it, they (inan.) did not see him/her, them (obv.)",0→3' TA Conjunct Preterit,"it, they(plur.) did not see him/her, them (obv.)"
waapamikossinikopan,"it, they (inan.) did not see him/her, them (obv.)",0→3' TA Conjunct Preterit,"it,  did not see him/her, them (obv.)"
noontaakossinikopan,"it, they (inan.) did not hear him/her, them (obv.)",0→3' TA Conjunct Preterit,"it, they(plur.) did not hear him/her, them (obv.)"
noontaakossinikopan,"it, they (inan.) did not hear him/her, them (obv.)",0→3' TA Conjunct Preterit,"it,  did not hear him/her, them (obv.)"
pakkitte'okossinikopan,"it, they (inan.) did not hit him/her, them (obv.)",0→3' TA Conjunct Preterit,"it, they(plur.) did not hit him/her, them (obv.)"
pakkitte'okossinikopan,"it, they (inan.) did not hit him/her, them (obv.)",0→3' TA Conjunct Preterit,"it,  did not hit him/her, them (obv.)"
waapamikossiwaampaan,"it, they (inan.) did not see me",0→1s TA Conjunct Preterit,"it, they(plur.) did not see me"
waapamikossiwaampaan,"it, they (inan.) did not see me",0→1s TA Conjunct Preterit,"it,  did not see me"
noontaakossiwaampaan,"it, they (inan.) did not hear me",0→1s TA Conjunct Preterit,"it, they(plur.) did not hear me"
noontaakossiwaampaan,"it, they (inan.) did not hear me",0→1s TA Conjunct Preterit,"it,  did not hear me"
pakkitte'okossiwaampaan,"it, they (inan.) did not hit me",0→1s TA Conjunct Preterit,"it, they(plur.) did not hit me"
pakkitte'okossiwaampaan,"it, they (inan.) did not hit me",0→1s TA Conjunct Preterit,"it,  did not hit me"
waapamikossiwaan,"it, they (inan.) do not see me",0→1s TA Conjunct Indicative,"it, they(plur.) do not see me"
waapamikossiwaan,"it, they (inan.) do not see me",0→1s TA Conjunct Indicative,"it,  do not see me"
noontaakossiwaan,"it, they (inan.) do not hear me",0→1s TA Conjunct Indicative,"it, they(plur.) do not hear me"
noontaakossiwaan,"it, they (inan.) do not hear me",0→1s TA Conjunct Indicative,"it,  do not hear me"
pakkitte'okossiwaan,"it, they (inan.) do not hit me",0→1s TA Conjunct Indicative,"it, they(plur.) do not hit me"
pakkitte'okossiwaan,"it, they (inan.) do not hit me",0→1s TA Conjunct Indicative,"it,  do not hit me"
waapamikossiwaank,"it, they (inan.) do not see us (excl.)",0→1p TA Conjunct Indicative,"it, they(plur.) do not see us (excl.)"
waapamikossiwaank,"it, they (inan.) do not see us (excl.)",0→1p TA Conjunct Indicative,"it,  do not see us (excl.)"
noontaakossiwaank,"it, they (inan.) do not hear us (excl.)",0→1p TA Conjunct Indicative,"it, they(plur.) do not hear us (excl.)"
noontaakossiwaank,"it, they (inan.) do not hear us (excl.)",0→1p TA Conjunct Indicative,"it,  do not hear us (excl.)"
pakkitte'okossiwaank,"it, they (inan.) do not hit us (excl.)",0→1p TA Conjunct Indicative,"it, they(plur.) do not hit us (excl.)"
pakkitte'okossiwaank,"it, they (inan.) do not hit us (excl.)",0→1p TA Conjunct Indicative,"it,  do not hit us (excl.)"
waapamikossiwaankipan,"it, they (inan.) did not see us (excl.)",0→1p TA Conjunct Preterit,"it, they(plur.) did not see us (excl.)"
waapamikossiwaankipan,"it, they (inan.) did not see us (excl.)",0→1p TA Conjunct Preterit,"it,  did not see us (excl.)"
noontaakossiwaankipan,"it, they (inan.) did not hear us (excl.)",0→1p TA Conjunct Preterit,"it, they(plur.) did not hear us (excl.)"
noontaakossiwaankipan,"it, they (inan.) did not hear us (excl.)",0→1p TA Conjunct Preterit,"it,  did not hear us (excl.)"
pakkitte'okossiwaankipan,"it, they (inan.) did not hit us (excl.)",0→1p TA Conjunct Preterit,"it, they(plur.) did not hit us (excl.)"
pakkitte'okossiwaankipan,"it, they (inan.) did not hit us (excl.)",0→1p TA Conjunct Preterit,"it,  did not hit us (excl.)"
waapamikossiwampan,"it, they (inan.) did not see you (sg.)",0→2s TA Conjunct Preterit,"it, they(plur.) did not see you (sg.)"
waapamikossiwampan,"it, they (inan.) did not see you (sg.)",0→2s TA Conjunct Preterit,"it,  did not see you (sg.)"
noontaakossiwampan,"it, they (inan.) did not hear you (sg.)",0→2s TA Conjunct Preterit,"it, they(plur.) did not hear you (sg.)"
noontaakossiwampan,"it, they (inan.) did not hear you (sg.)",0→2s TA Conjunct Preterit,"it,  did not hear you (sg.)"
pakkitte'okossiwampan,"it, they (inan.) did not hit you (sg.)",0→2s TA Conjunct Preterit,"it, they(plur.) did not hit you (sg.)"
pakkitte'okossiwampan,"it, they (inan.) did not hit you (sg.)",0→2s TA Conjunct Preterit,"it,  did not hit you (sg.)"
waapamikossiwan,"it, they (inan.) do not see you (sg.)",0→2s TA Conjunct Indicative,"it, they(plur.) do not see you (sg.)"
waapamikossiwan,"it, they (inan.) do not see you (sg.)",0→2s TA Conjunct Indicative,"it,  do not see you (sg.)"
noontaakossiwan,"it, they (inan.) do not hear you (sg.)",0→2s TA Conjunct Indicative,"it, they(plur.) do not hear you (sg.)"
noontaakossiwan,"it, they (inan.) do not hear you (sg.)",0→2s TA Conjunct Indicative,"it,  do not hear you (sg.)"
pakkitte'okossiwan,"it, they (inan.) do not hit you (sg.)",0→2s TA Conjunct Indicative,"it, they(plur.) do not hit you (sg.)"
pakkitte'okossiwan,"it, they (inan.) do not hit you (sg.)",0→2s TA Conjunct Indicative,"it,  do not hit you (sg.)"
waapamikossiwank,people do not see us (incl.),X→21 TA Conjunct Indicative,people do not see us
noontaakossiwank,people do not hear us (incl.),X→21 TA Conjunct Indicative,people do not hear us
pakkitte'okossiwank,people do not hit us (incl.),X→21 TA Conjunct Indicative,people do not hit us
waapamikossiwank,"it, they (inan.) do not see us (incl.)",0→21 TA Conjunct Indicative,"it, they(plur.) do not see us (incl.)"
waapamikossiwank,"it, they (inan.) do not see us (incl.)",0→21 TA Conjunct Indicative,"it,  do not see us (incl.)"
noontaakossiwank,"it, they (inan.) do not hear us (incl.)",0→21 TA Conjunct Indicative,"it, they(plur.) do not hear us (incl.)"
noontaakossiwank,"it, they (inan.) do not hear us (incl.)",0→21 TA Conjunct Indicative,"it,  do not hear us (incl.)"
pakkitte'okossiwank,"it, they (inan.) do not hit us (incl.)",0→21 TA Conjunct Indicative,"it, they(plur.) do not hit us (incl.)"
pakkitte'okossiwank,"it, they (inan.) do not hit us (incl.)",0→21 TA Conjunct Indicative,"it,  do not hit us (incl.)"
waapamikossiwankipan,"it, they (inan.) did not see us (incl.)",0→21 TA Conjunct Preterit,"it, they(plur.) did not see us (incl.)"
waapamikossiwankipan,"it, they (inan.) did not see us (incl.)",0→21 TA Conjunct Preterit,"it,  did not see us (incl.)"
noontaakossiwankipan,"it, they (inan.) did not hear us (incl.)",0→21 TA Conjunct Preterit,"it, they(plur.) did not hear us (incl.)"
noontaakossiwankipan,"it, they (inan.) did not hear us (incl.)",0→21 TA Conjunct Preterit,"it,  did not hear us (incl.)"
pakkitte'okossiwankipan,"it, they (inan.) did not hit us (incl.)",0→21 TA Conjunct Preterit,"it, they(plur.) did not hit us (incl.)"
pakkitte'okossiwankipan,"it, they (inan.) did not hit us (incl.)",0→21 TA Conjunct Preterit,"it,  did not hit us (incl.)"
waapamikossiwek,people do not see you (pl.),X→2p TA Conjunct Indicative,people do not see you
noontaakossiwek,people do not hear you (pl.),X→2p TA Conjunct Indicative,people do not hear you
pakkitte'okossiwek,people do not hit you (pl.),X→2p TA Conjunct Indicative,people do not hit you
waapamikossiwek,"it, they (inan.) do not see you (pl.)",0→2p TA Conjunct Indicative,"it, they(plur.) do not see you (pl.)"
waapamikossiwek,"it, they (inan.) do not see you (pl.)",0→2p TA Conjunct Indicative,"it,  do not see you (pl.)"
noontaakossiwek,"it, they (inan.) do not hear you (pl.)",0→2p TA Conjunct Indicative,"it, they(plur.) do not hear you (pl.)"
noontaakossiwek,"it, they (inan.) do not hear you (pl.)",0→2p TA Conjunct Indicative,"it,  do not hear you (pl.)"
pakkitte'okossiwek,"it, they (inan.) do not hit you (pl.)",0→2p TA Conjunct Indicative,"it, they(plur.) do not hit you (pl.)"
pakkitte'okossiwek,"it, they (inan.) do not hit you (pl.)",0→2p TA Conjunct Indicative,"it,  do not hit you (pl.)"
waapamikossiwekipan,"it, they (inan.) did not see you (pl.)",0→2p TA Conjunct Preterit,"it, they(plur.) did not see you (pl.)"
waapamikossiwekipan,"it, they (inan.) did not see you (pl.)",0→2p TA Conjunct Preterit,"it,  did not see you (pl.)"
noontaakossiwekipan,"it, they (inan.) did not hear you (pl.)",0→2p TA Conjunct Preterit,"it, they(plur.) did not hear you (pl.)"
noontaakossiwekipan,"it, they (inan.) did not hear you (pl.)",0→2p TA Conjunct Preterit,"it,  did not hear you (pl.)"
pakkitte'okossiwekipan,"it, they (inan.) did not hit you (pl.)",0→2p TA Conjunct Preterit,"it, they(plur.) did not hit you (pl.)"
pakkitte'okossiwekipan,"it, they (inan.) did not hit you (pl.)",0→2p TA Conjunct Preterit,"it,  did not hit you (pl.)"
waapamikot,"s/he, they (obv.) see him/her",3'→3s TA Conjunct Indicative,they(plur.) see him/her
waapamikot,"s/he, they (obv.) see him/her",3'→3s TA Conjunct Indicative,they(sing.) see him/her
noontaakot,"s/he, they (obv.) hear him/her",3'→3s TA Conjunct Indicative,they(plur.) hear him/her
noontaakot,"s/he, they (obv.) hear him/her",3'→3s TA Conjunct Indicative,they(sing.) hear him/her
pakkitte'okot,"s/he, they (obv.) hit him/her",3'→3s TA Conjunct Indicative,they(plur.) hit him/her
pakkitte'okot,"s/he, they (obv.) hit him/her",3'→3s TA Conjunct Indicative,they(sing.) hit him/her
waapamikot,"it, they (inan.) see him/her",0→3s TA Conjunct Indicative,"it, they(plur.) see him/her"
waapamikot,"it, they (inan.) see him/her",0→3s TA Conjunct Indicative,"it,  see him/her"
noontaakot,"it, they (inan.) hear him/her",0→3s TA Conjunct Indicative,"it, they(plur.) hear him/her"
noontaakot,"it, they (inan.) hear him/her",0→3s TA Conjunct Indicative,"it,  hear him/her"
pakkitte'okot,"it, they (inan.) hit him/her",0→3s TA Conjunct Indicative,"it, they(plur.) hit him/her"
pakkitte'okot,"it, they (inan.) hit him/her",0→3s TA Conjunct Indicative,"it,  hit him/her"
waapamikowaakopanen,"s/he, they (obv.) must have seen them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must have seen them (anim.)
waapamikowaakopanen,"s/he, they (obv.) must have seen them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must have seen them (anim.)
noontaakowaakopanen,"s/he, they (obv.) must have heard them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must have heard them (anim.)
noontaakowaakopanen,"s/he, they (obv.) must have heard them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must have heard them (anim.)
pakkitte'okowaakopanen,"s/he, they (obv.) must have hit them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(plur.) must have hit them (anim.)
pakkitte'okowaakopanen,"s/he, they (obv.) must have hit them (anim.)",3'→3p TA Conjunct Dubitative Preterit,they(sing.) must have hit them (anim.)
waapamikowaakopanen,"it, they (inan.) must have seen them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it, they(plur.) must have seen them (anim.)"
waapamikowaakopanen,"it, they (inan.) must have seen them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it,  must have seen them (anim.)"
noontaakowaakopanen,"it, they (inan.) must have heard them (anim.)",0→3p TA Conjunct Dubitative Preterit,"it, they(plur.) must have heard them (anim.)"
